t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
0.050,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.155,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.260,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.365,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.470,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.575,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.680,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.785,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.890,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.205,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.310,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.415,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.520,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.625,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.730,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.835,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.940,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.045,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.255,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.360,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.465,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.570,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.675,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.780,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.885,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.990,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.095,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.305,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.410,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.515,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.620,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.725,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.830,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.935,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.040,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.145,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.355,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.460,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.565,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.670,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.776,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.880,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.985,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.090,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.195,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.405,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.510,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.615,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.720,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.825,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.035,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.245,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.350,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.455,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.560,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.665,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.770,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.875,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.085,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.190,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.295,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.505,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.610,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.715,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.820,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.925,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.030,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.135,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.345,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.450,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.555,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.660,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.765,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.870,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.975,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.080,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.185,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.290,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.395,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.605,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.710,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.815,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.025,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.130,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.235,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.340,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.445,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.550,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.655,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.760,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.865,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10.970,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.075,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.180,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.285,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.390,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.495,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.705,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.810,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11.915,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.020,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.230,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.335,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.440,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.544,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.650,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.755,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.860,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12.965,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
